150824_100028
REF_LAT, REF_LON
52.429019,-1.947089
Waypoints (nb, radius):
3,10
Waypoints (lat, lon):
52.429470,-1.946013
52.429462,-1.946756
52.429164,-1.946454
Time (ms), Yaw Filtered (deg), Yaw Raw (deg), Wind Direction Filtered (deg), Wind Direction Raw (deg), True Wind Direction (deg), Wind Speed (kph), Satellites, Course (deg), Speed (kph), Latitude (deg), Longitude (deg), X (m), Y (m), Rudder Cmd (%), Sail Cmd (%), RC Reception
423516,5.720,28.600,13.200,132.000,18.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.342,0.010,0
423557,10.316,28.700,25.180,133.000,34.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.311,0.010,0
423600,13.993,28.700,36.062,134.000,50.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.275,0.010,0
423643,16.934,28.700,45.956,135.000,62.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.250,0.010,0
423685,19.267,28.600,54.860,135.000,73.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.228,0.010,0
423730,21.114,28.500,62.874,135.000,83.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.482,0.024,0
423772,22.571,28.400,70.087,135.000,92.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.485,0.047,0
423814,23.717,28.300,76.578,135.000,100.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.488,0.077,0
423857,24.634,28.300,82.420,135.000,107.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.490,0.112,0
423901,25.387,28.400,87.778,136.000,112.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.493,0.143,0
423945,25.989,28.400,92.700,137.000,118.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.493,0.187,0
423987,26.492,28.500,97.230,138.000,123.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.496,0.229,0
424030,26.893,28.500,101.307,138.000,128.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.496,0.275,0
424074,27.235,28.600,104.977,138.000,131.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.499,0.305,0
424117,27.528,28.700,108.379,139.000,134.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.499,0.336,0
424159,27.782,28.800,111.541,140.000,139.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.499,0.391,0
424201,28.006,28.900,114.487,141.000,141.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.414,0
424248,28.205,29.000,117.338,143.000,145.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.461,0
424290,28.364,29.000,120.004,144.000,148.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.497,0
424333,28.511,29.100,122.504,145.000,151.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.534,0
424376,28.649,29.200,124.654,144.000,152.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.546,0
424422,28.759,29.200,126.588,144.000,155.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.582,0
424465,28.827,29.100,128.329,144.000,157.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.607,0
424507,28.882,29.100,129.896,144.000,158.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.619,0
424550,28.905,29.000,131.307,144.000,160.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.643,0
424596,28.904,28.900,132.476,143.000,161.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.655,0
424639,28.883,28.800,133.529,143.000,162.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.667,0
424682,28.867,28.800,134.376,142.000,163.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.679,0
424724,28.873,28.900,135.038,141.000,163.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.679,0
424768,28.899,29.000,135.634,141.000,163.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.679,0
424811,28.939,29.100,136.171,141.000,165.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.703,0
424853,28.991,29.200,136.654,141.000,165.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.501,0.703,0
424895,29.053,29.300,137.088,141.000,166.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.714,0
424940,29.122,29.400,137.480,141.000,166.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.714,0
424982,29.178,29.400,137.832,141.000,167.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.726,0
425024,29.222,29.400,138.148,141.000,167.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.726,0
425066,29.258,29.400,138.434,141.000,167.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.726,0
425111,29.286,29.400,138.690,141.000,167.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.726,0
425154,29.309,29.400,138.921,141.000,168.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.737,0
425198,29.327,29.400,139.229,142.000,168.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.737,0
425241,29.322,29.300,139.606,143.000,168.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.737,0
425286,29.317,29.300,140.146,145.000,169.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.749,0
425329,29.294,29.200,140.831,147.000,170.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.760,0
425372,29.255,29.100,141.748,150.000,171.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.771,0
425415,29.204,29.000,142.873,153.000,172.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.782,0
425461,29.163,29.000,144.086,155.000,173.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.792,0
425503,29.151,29.100,145.377,157.000,174.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.803,0
425546,29.161,29.200,146.740,159.000,175.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.813,0
425589,29.188,29.300,148.066,160.000,177.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.833,0
425635,29.231,29.400,149.359,161.000,178.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.843,0
425678,29.285,29.500,150.723,163.000,180.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.861,0
425720,29.348,29.600,152.051,164.000,181.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.870,0
425762,29.398,29.600,153.346,165.000,182.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.879,0
425807,29.439,29.600,154.611,166.000,184.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.896,0
425850,29.471,29.600,155.750,166.000,185.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.904,0
425892,29.477,29.500,156.775,166.000,186.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.912,0
425934,29.461,29.400,157.698,166.000,187.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.919,0
425979,29.409,29.200,158.428,165.000,187.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.919,0
426021,29.347,29.100,159.085,165.000,188.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.926,0
426063,29.278,29.000,159.677,165.000,188.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.926,0
426106,29.202,28.900,160.209,165.000,188.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.926,0
426159,29.142,28.900,160.688,165.000,188.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.926,0
426202,29.093,28.900,161.119,165.000,190.000,1.207,10,203.830001,0.000000,52.429138,-1.946308,52.923671,13.149425,0.504,0.939,0
